id,Marque,Nom,latitude,longitude,adresse,cp,ville,E10,E85,GPLc,Gazole,SP95,SP98
10000005,Esso Express,ESSO ST JULLIEN,48.283,4.079,210 Rue du Faubourg Croncels,10000,TROYES,Prix : 1.698€ le 09/10/2022 à 06:20,,,Prix : 1.927€ le 09/10/2022 à 06:20,,Prix : 1.778€ le 09/10/2022 à 06:20
10000006,Casino,CASINO SUPERMARCHE,48.28855,4.07571,3 Rue de la Mission,10000,TROYES,Prix : 1.615€ le 07/10/2022 à 11:24,,,Prix : 1.789€ le 07/10/2022 à 11:24,,Prix : 1.719€ le 07/10/2022 à 11:24
1000001,Carrefour Market,Carrefour Market,46.20114,5.19791,596 AVENUE DE TREVOUX,01000,SAINT-DENIS-LÈS-BOURG,,,,,,En rupture depuis le 07/10/2022 à 11:55
1000002,Carrefour Market,Carrefour Market,46.21842,5.22767,16 Avenue de Marboz,01000,BOURG-EN-BRESSE,,,,En rupture depuis le 06/10/2022 à 18:33,En rupture depuis le 06/10/2022 à 18:33,En rupture depuis le 06/10/2022 à 08:10
1000004,Total,SARL WALES DISTRIBUTION,46.188,5.245,20 Avenue du Maréchal Juin,01000,BOURG-EN-BRESSE,,,Prix : 0.730€ le 23/09/2022 à 20:00,En rupture depuis le 26/09/2022 à 09:03,En rupture depuis le 29/09/2022 à 15:42,
1000007,Leclerc,CENTRE E. LECLERC,46.221,5.245,AVENUE FRANCOIS PIGNIER,01000,BOURG-EN-BRESSE,En rupture depuis le 05/10/2022 à 08:54,,,Prix : 1.840€ le 08/10/2022 à 09:18,En rupture depuis le 04/10/2022 à 13:45,En rupture depuis le 05/10/2022 à 08:54
1000008,Carrefour,Carrefour   bourg en bresse,46.199,5.241,Bd Charles de Gaulle,01000,BOURG-EN-BRESSE,Prix : 1.468€ le 01/10/2022 à 14:56,,,Prix : 1.679€ le 01/10/2022 à 14:56,Prix : 1.491€ le 01/10/2022 à 14:56,Prix : 1.537€ le 01/10/2022 à 14:56
1000009,Intermarché,INTERMARCHE BOURG EN BRESSE,46.196,5.229,56 Rue du Stand,01000,BOURG-EN-BRESSE,En rupture depuis le 03/10/2022 à 09:04,En rupture depuis le 03/10/2022 à 09:04,En rupture depuis le 27/06/2022 à 08:10,En rupture depuis le 03/10/2022 à 09:04,En rupture depuis le 03/10/2022 à 09:04,En rupture depuis le 03/10/2022 à 09:04
10100001,Carrefour Market,Carrefour Market,48.51018,3.71443,AVENUE DIDEROT,10100,ROMILLY-SUR-SEINE,,,,En rupture depuis le 08/10/2022 à 14:51,En rupture depuis le 08/10/2022 à 14:51,En rupture depuis le 08/10/2022 à 14:51
10100002,Total,SARL LACOUR,48.509,3.732,123 Rue Aristide Briand,10100,ROMILLY-SUR-SEINE,En rupture depuis le 07/10/2022 à 17:23,,,En rupture depuis le 08/10/2022 à 09:49,En rupture depuis le 04/10/2022 à 13:56,Prix : 1.647€ le 08/10/2022 à 06:34
10100003,Esso Express,ESSO BOULE D'OR,48.512,3.72,70 Rue Aristide Briand,10100,ROMILLY-SUR-SEINE,Prix : 1.629€ le 06/10/2022 à 03:46,,,Prix : 1.769€ le 06/10/2022 à 03:46,,Prix : 1.709€ le 06/10/2022 à 03:46
10100004,Leclerc,SODIROM/SOROJARD,48.504,3.763,Centre Commercial La Belle Idée - RN 19,10100,ROMILLY-SUR-SEINE,Prix : 1.599€ le 10/10/2022 à 01:15,Prix : 0.729€ le 10/10/2022 à 01:15,Prix : 0.739€ le 10/10/2022 à 01:15,Prix : 1.759€ le 10/10/2022 à 01:15,,Prix : 1.655€ le 10/10/2022 à 01:15
10110001,Esso Express,ESSO BARSEQUANAISE,48.106,4.377,14 FAUX BOURG DE BOURGOGNE,10110,BAR-SUR-SEINE,Prix : 1.749€ le 08/10/2022 à 03:47,Prix : 0.809€ le 08/10/2022 à 03:47,,Prix : 1.969€ le 08/10/2022 à 03:47,,Prix : 1.829€ le 08/10/2022 à 03:47
10110002,Intermarché,INTERMARCHE BAR SUR SEINE,48.11577,4.38129,20 Avenue du Général Leclerc,10110,BAR-SUR-SEINE,Prix : 1.664€ le 07/10/2022 à 08:20,,,Prix : 1.894€ le 07/10/2022 à 08:20,,Prix : 1.755€ le 07/10/2022 à 08:20
10120001,Total,MR BARRET,48.241,4.022,184 Route Nationale 77 - Chevillele,10120,SAINT-GERMAIN,,,,En rupture depuis le 05/10/2022 à 15:23,,Prix : 1.710€ le 10/10/2022 à 07:59
10123001,Carrefour,CARREFOUR ST ANDRE LES VERGERS,48.289,4.065,Avenue Charles de Refuge,10120,SAINT-ANDRÉ-LES-VERGERS,Prix : 1.696€ le 08/10/2022 à 09:18,Prix : 0.659€ le 08/10/2022 à 09:18,,Prix : 1.934€ le 08/10/2022 à 09:18,,Prix : 1.729€ le 08/10/2022 à 09:18
